name,code,ispb
Banco VR,610,78626983
Credicoamo,010,81723108
BANCO SANTANDER S.A.,033,90400888
Banco Ourinvest,712,78632767
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,041,92702067
BANCO DIGIMAIS SA,654,92874270
BANCO ORIGINAL S.A.,212,92894922
"Via certa financiadora s.a. - crédito, financiamento e investimentos",411,05192316
ACESSO SOLUÇÕES DE PAGAMENTO S.A.,332,13140088
Parati CFI S.A.,326,03311443
Global finanças sociedade de crédito ao microempreendedor e à empresa de pequeno,384,11165756
HUB PAGAMENTOS S.A.,396,13884775
Cartos sociedade de crédito direto s.a.,324,21332862
Banco Bari,330,00556603
Listo sociedade de credito direto s.a.,397,34088029
Bônuscred sociedade de crédito direto s.a.,408,36586946
SUMUP SOCIEDADE DE CREDITO DIRETO S.A,404,37241230
Fidúcia sociedade de crédito ao microempreendedor e à empresa de pequeno porte l,382,04307598
"Zema Crédito, Financiamento E Investimento",359,05351887
Creditas Sociedade De Crédito Direto S.A.,342,32997490
Ótimo Sociedade De Crédito Direto S.A.,355,34335592
Coopavel,281,76461557
Senff Financeira,276,11970623
Banco bv s.a.,413,01858774
Picpay servicos s.a.,380,22896431
"Realize crédito, financiamento e investimento s.a.",374,27351731
Banco XP S.A.,348,33264668
CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA - UNICRED DO BRASIL,136,00315557
QI Sociedade De Crédito Direto S.A.,329,32402502
BANCO RIBEIRAO PRETO S.A.,741,00517645
Credialiança,098,78157146
BANCO COOPERATIVO SICREDI S.A.,748,01181521
BANCO DIGIO S.A.,335,27098060
BANCO DO BRASIL,001,00000000
BRB – BANCO DE BRASÍLIA S.A,070,00000208
BANCO INTER S.A,077,00416968
BANCO COOPERATIVO SICOOB S.A,756,02038232
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA,099,03046391
UNIPRIME NORTE DO PARANA,084,02398976
Sulcredi - Ouro,286,07853842
CAIXA ECONOMICA FEDERAL S.A,104,00360305
CIELO S.A,362,01027058
BANCO MASTER S.A.,243,33923798
Bexs,144,13059145
BANCO ABC BRASIL S.A.,246,28195667
BANCO BTG PACTUAL S.A,208,30306294
Pernambucanas Financiadora,174,43180355
OMNI BANCO S.A,613,60850229
Banco Cetelem,739,00558456
BANCO KEB HANA DO BRASIL S.A.,757,02318507
BANCO ALFA S.A.,025,03323840
CREDISIS- CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA,097,04632856
