partic;CNPJ;ispb;name;domicilio;code
1;00.000.000/0001.91;00000000;BANCO DO BRASIL;X;1
62;04.902.979/0001.44;04902979;BANCO DA AMAZONIA S.A.;X;3
86;07.237.373/0001.20;07237373;BANCO DO NORDESTE DO BRASIL S.A.;X;4
317;28.127.603/0001.78;28127603;BANESTES S.A. - BANCO DO ESTADO DO ESPÍRITO SANTO;X;21
41;03.323.840/0001.83;03323840;BANCO ALFA S.A.;X;25
399;90.400.888/0001.42;90400888;BANCO SANTANDER S.A.;X;33
64;04.913.711/0001.08;04913711;BANCO DO ESTADO DO PARÁ S.A.;X;37
401;92.702.067/0001.96;92702067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;X;41
153;13.009.717/0001.46;13009717;BANESE - BANCO DO ESTADO DE SERGIPE S.A.;X;47
383;61.033.106/0001.86;61033106;BANCO CREFISA S.A;X;69
2;00.000.208/0001.00;00000208;BRB – BANCO DE BRASÍLIA S.A;X;70
7;00.416.968/0001.01;00416968;BANCO INTER S.A;X;77
92;07.679.404/0001.00;07679404;BANCO TOPÁZIO S.A;X;82
37;02.398.976/0001.90;02398976;UNIPRIME NORTE DO PARANA;X;84
69;05.463.212/0001.29;05463212;COOPERATIVA CENTRAL DE CRÉDITO - AILOS;X;85
389;62.109.566/0001.03;62109566;CREDISAN - COOP. DE CRÉDITO RURAL DA REGIÃO DA MOGIANA;X;89
94;07.945.233/0001.06;07945233;"POLOCRED - SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA";X;93
145;11.758.741/0001.52;11758741;BANCO FINAXIS S.A.;X;94
56;04.632.856/0001.30;04632856;CREDISIS- CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA;X;97
39;03.046.391/0001.73;03046391;UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA;X;99
6;00.360.305/0001.04;00360305;CAIXA ECONOMICA FEDERAL S.A;X;104
182;15.114.366/0001.69;15114366;BANCO BOCOM BBM S.A.;X;107
359;33.603.457/0001.40;33603457;BANCO RODOBENS S.A.;X;120
115;09.313.766/0001.09;09313766;CARUANA S.A. - SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO;X;130
124;10.398.952/0001.69;10398952;CRESOL CONFEDERAÇÃO;X;133
5;00.315.557/0001.11;00315557;"CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA - UNICRED DO BRASIL";X;136
191;16.501.555/0001.57;16501555;STONE PAGAMENTOS S.A.;X;197
336;30.306.294/0001.45;30306294;BANCO BTG PACTUAL S.A;X;208
404;92.894.922/0001.08;92894922;BANCO ORIGINAL S.A.;X;212
368;54.403.563/0001.50;54403563;BANCO ARBI S.A.;X;213
395;71.027.866/0001.34;71027866;BANCO BS2 S.A.;X;218
371;58.616.418/0001.08;58616418;BANCO FIBRA S.A.;X;224
378;60.746.948/0001.12;60746948;BANCO BRADESCO S.A.;X;237
360;33.923.798/0001.00;33923798;BANCO MASTER S.A.;X;243
319;28.195.667/0001.06;28195667;BANCO ABC BRASIL S.A.;X;246
